spo_rouge1_P,spo_rouge1_R,spo_rouge1_F1
0.9672131147540983,0.7564102564102564,0.8489208583841416
1.0,0.8214285714285714,0.901960779361784
0.96,0.8571428571428571,0.9056603723745104
0.9322033898305084,0.8461538461538461,0.887096769205255
0.9636363636363636,0.7066666666666667,0.8153846105029586
0.9508196721311475,0.7945205479452054,0.8656716368311429
0.9761904761904762,0.6949152542372882,0.8118811832604647
0.9583333333333334,0.8518518518518519,0.9019607793310267
1.0,0.8709677419354839,0.9310344777824019
1.0,0.8518518518518519,0.919999995032
0.9482758620689655,0.7236842105263158,0.8208955174782804
1.0,0.7777777777777778,0.8749999950781251
0.9117647058823529,0.7209302325581395,0.8051948002631135
0.9807692307692307,0.8095238095238095,0.8869565167848772
0.9833333333333333,0.8194444444444444,0.8939393889807163
1.0,0.875,0.9333333283555556
1.0,0.8852459016393442,0.9391304298011343
1.0,0.8,0.8888888839506174
0.9682539682539683,0.8133333333333334,0.8840579660522999
0.9090909090909091,0.8163265306122449,0.8602150487778933
1.0,0.6851851851851852,0.8131868083613092
1.0,0.8333333333333334,0.9090909041322315
0.9444444444444444,0.8095238095238095,0.8717948668244576
0.96875,0.8378378378378378,0.8985507196639362
0.9454545454545454,0.8,0.8666666617013888
0.9746835443037974,0.8555555555555555,0.9112425985714786
0.9795918367346939,0.9230769230769231,0.950495044509362
1.0,0.6153846153846154,0.7619047571882087
1.0,0.7272727272727273,0.8421052582825486
0.9574468085106383,0.8181818181818182,0.8823529362072281
0.9523809523809523,0.8,0.8695652124291116
0.9848484848484849,0.9154929577464789,0.9489051044957111
0.9642857142857143,0.7714285714285715,0.8571428522045856
0.9666666666666667,0.8285714285714286,0.8923076873372782
0.9807692307692307,0.8947368421052632,0.9357798115242825
0.9830508474576272,0.8923076923076924,0.9354838659794487
0.9841269841269841,0.8051948051948052,0.8857142807642858
1.0,0.8043478260869565,0.8915662601190304
1.0,0.84375,0.9152542323240449
1.0,0.8518518518518519,0.919999995032
0.9649122807017544,0.8088235294117647,0.8799999950387201
0.8444444444444444,0.7755102040816326,0.8085106333069262
0.9838709677419355,0.8133333333333334,0.8905109439501306
0.9873417721518988,0.9512195121951219,0.9689440943806182
1.0,0.8257575757575758,0.904564310398237
0.975,0.8125,0.8863636314049587
1.0,0.7571428571428571,0.8617886129816908
0.9491525423728814,0.8484848484848485,0.8959999950156801
0.94,0.8392857142857143,0.8867924478462086
0.9655172413793104,0.7567567567567568,0.8484848435583106
0.9836065573770492,0.8450704225352113,0.9090909041196052
1.0,0.896551724137931,0.9454545404694216
1.0,0.8285714285714286,0.9062499950439453
0.9833333333333333,0.7972972972972973,0.880597009979951
0.9864864864864865,0.9240506329113924,0.9542483610184118
1.0,0.9047619047619048,0.9499999950125001
0.948051948051948,0.8111111111111111,0.8742514920362868
0.96,0.8135593220338984,0.8807339399882166
0.9863013698630136,0.8674698795180723,0.9230769180974688
0.9508196721311475,0.7945205479452054,0.8656716368311429
0.9387755102040817,0.6865671641791045,0.7931034433962546
0.961038961038961,0.9024390243902439,0.9308176050678375
0.9878048780487805,0.9418604651162791,0.9642857092885488
0.9834710743801653,0.8814814814814815,0.9296874950149537
0.9855072463768116,0.6938775510204082,0.8143712526358063
0.975,0.75,0.8478260820415878
0.8571428571428571,0.6486486486486487,0.7384615335573964
0.9,0.6585365853658537,0.7605633754017062
0.9807692307692307,0.864406779661017,0.9189189139388038
0.978494623655914,0.883495145631068,0.9285714235844441
0.9545454545454546,0.6666666666666666,0.7850467241296184
0.975609756097561,0.8163265306122449,0.8888888839283952
0.9565217391304348,0.8627450980392157,0.907216489858646
0.967741935483871,0.6818181818181818,0.7999999951502224
0.972972972972973,0.8181818181818182,0.888888883926231
0.9830508474576272,0.8405797101449275,0.9062499950305176
1.0,0.9081632653061225,0.9518716527655925
0.9375,0.75,0.8333333283950618
