santa_rouge1_P,santa_rouge1_R,santa_rouge1_F1
0.9230769230769231,0.6666666666666666,0.7741935435171696
0.9302325581395349,0.5882352941176471,0.7207207159743528
0.8979591836734694,0.6984126984126984,0.7857142807924108
0.9148936170212766,0.6323529411764706,0.7478260821232514
0.9555555555555556,0.671875,0.7889908208399966
0.9615384615384616,0.7894736842105263,0.8670520181696683
0.9736842105263158,0.6607142857142857,0.7872340377365324
0.9574468085106383,0.7627118644067796,0.8490565988376647
0.9827586206896551,0.7215189873417721,0.8321167834386489
1.0,0.7474747474747475,0.8554913245841828
0.8888888888888888,0.5063291139240507,0.6451612856984912
0.96,0.8275862068965517,0.8888888839163238
0.9701492537313433,0.8024691358024691,0.8783783734231192
0.9428571428571428,0.4852941176470588,0.6407766945423697
0.9545454545454546,0.65625,0.7777777729492457
0.9571428571428572,0.67,0.7882352892733565
1.0,0.7049180327868853,0.8269230720728551
0.9333333333333333,0.7466666666666667,0.829629624691358
0.9473684210526315,0.72,0.8181818132747933
0.9148936170212766,0.6935483870967742,0.7889908207827624
0.9642857142857143,0.8307692307692308,0.8925619784987365
0.972972972972973,0.8181818181818182,0.888888883926231
1.0,0.9166666666666666,0.9565217341398866
0.9705882352941176,0.6470588235294118,0.7764705834352943
1.0,0.6349206349206349,0.7766990243755303
0.9066666666666666,0.6868686868686869,0.7816091904974237
0.9230769230769231,0.6486486486486487,0.7619047570571933
0.9833333333333333,0.8082191780821918,0.8872180401605518
1.0,0.7424242424242424,0.8521739081527411
0.9459459459459459,0.546875,0.6930693022880109
0.9795918367346939,0.6666666666666666,0.7933884249327231
0.9814814814814815,0.7361111111111112,0.8412698363718824
0.96,0.7741935483870968,0.8571428522002551
0.948051948051948,0.6403508771929824,0.7643979009467943
1.0,0.6212121212121212,0.7663551354598656
0.9696969696969697,0.7191011235955056,0.8258064467229969
0.975,0.7959183673469388,0.8764044894331524
1.0,0.6142857142857143,0.761061942188112
0.9767441860465116,0.6086956521739131,0.7499999952694516
0.9777777777777777,0.7213114754098361,0.8301886743592026
0.967741935483871,0.7692307692307693,0.8571428522081633
0.9838709677419355,0.7261904761904762,0.835616433469694
0.9714285714285714,0.6071428571428571,0.7472527425190195
0.8444444444444444,0.5846153846153846,0.6909090860743803
0.8392857142857143,0.6266666666666667,0.7175572470135774
0.9777777777777777,0.6027397260273972,0.7457627071459351
