Textrank_rouge1_P,Textrank_rouge1_R,Textrank_rouge1_F1
1.0,0.4485981308411215,0.6193548344341311
1.0,0.9836065573770492,0.9917355321904242
1.0,0.7575757575757576,0.8620689606123663
1.0,0.6582278481012658,0.7938931249833926
1.0,0.9861111111111112,0.9930069880072376
1.0,0.881578947368421,0.9370629320827425
1.0,0.9777777777777777,0.9887640399444514
1.0,0.7708333333333334,0.8705882303778547
1.0,0.5671641791044776,0.7238095191909298
1.0,0.8648648648648649,0.927536226910313
1.0,0.6354166666666666,0.7770700589427564
1.0,0.975609756097561,0.9876543159884165
1.0,0.984375,0.9921259792522785
1.0,0.8,0.8888888839506174
1.0,0.9487179487179487,0.9736842055297784
1.0,0.6375,0.7786259494435056
1.0,0.7159090909090909,0.8344370812297708
1.0,0.6851851851851852,0.8131868083613092
1.0,0.78125,0.8771929775315482
1.0,0.6612903225806451,0.7961165000622115
1.0,0.48484848484848486,0.6530612200916286
1.0,0.6262626262626263,0.7701863306677984
0.9722222222222222,0.660377358490566,0.7865168491150107
1.0,0.5975609756097561,0.7480915983707243
1.0,0.5616438356164384,0.7192982410080025
1.0,0.9848484848484849,0.9923664072140319
1.0,0.6507936507936508,0.7884615336852812
1.0,0.5974025974025974,0.7479674749923988
1.0,0.6455696202531646,0.7846153798473374
1.0,0.4205607476635514,0.5921052589897854
1.0,0.9761904761904762,0.9879518022296414
1.0,0.975,0.9873417671526998
1.0,0.813953488372093,0.8974358924884944
1.0,0.5818181818181818,0.7356321792574977
1.0,0.6973684210526315,0.821705421515534
1.0,0.9833333333333333,0.9915966336558153
1.0,0.7,0.8235294069204152
1.0,0.746268656716418,0.854700849806414
1.0,0.9791666666666666,0.9894736792110804
0.9772727272727273,0.7288135593220338,0.8349514514167217
1.0,0.6911764705882353,0.8173912995145558
1.0,0.5227272727272727,0.6865671596703052
1.0,0.9818181818181818,0.9908256830738154
1.0,0.5116279069767442,0.6769230724449705
1.0,0.43564356435643564,0.6068965474967896
1.0,0.631578947368421,0.7741935436420396
1.0,0.9818181818181818,0.9908256830738154
1.0,0.45,0.6206896508917956
1.0,0.6153846153846154,0.7619047571882087
