spo_bert_P,spo_bert_R,spo_bert_F1
0.9272,0.9757,0.9508
0.9007,0.9585,0.9287
0.9287,0.95,0.9392
0.9103,0.958,0.9335
0.9475,0.9652,0.9563
0.8804,0.9282,0.9037
0.915,0.9604,0.9371
0.8378,0.9168,0.8755
0.9309,0.9652,0.9477
0.9487,0.9722,0.9604
0.8723,0.935,0.9026
0.9061,0.9517,0.9284
0.8991,0.9441,0.921
0.8895,0.932,0.9102
0.8581,0.9077,0.8822
0.9634,0.9804,0.9719
0.9416,0.9708,0.956
0.8969,0.9489,0.9221
0.9041,0.9531,0.928
0.9341,0.9698,0.9516
0.9204,0.9603,0.9399
0.8409,0.9114,0.8747
0.9385,0.9627,0.9504
0.9514,0.9658,0.9585
0.9332,0.9612,0.9469
0.8357,0.9164,0.8742
0.8912,0.9622,0.9254
0.8047,0.8765,0.8391
0.8451,0.9342,0.8874
0.93,0.9645,0.9469
0.9187,0.9496,0.9339
0.8171,0.8969,0.8552
0.8684,0.923,0.8949
0.9304,0.9583,0.9441
0.8464,0.9165,0.88
0.9047,0.9487,0.9261
0.8833,0.9427,0.9121
0.9098,0.9446,0.9268
0.8271,0.8798,0.8526
0.8816,0.9407,0.9102
0.8251,0.9071,0.8641
0.8574,0.9321,0.8932
0.9055,0.9581,0.9311
0.9352,0.9693,0.952
0.8664,0.922,0.8933
0.8297,0.8975,0.8623
0.8767,0.9478,0.9109
0.8931,0.9365,0.9143
0.8618,0.9156,0.8879
0.8762,0.9248,0.8998
0.9292,0.9586,0.9437
0.8821,0.9238,0.9025
0.8898,0.9537,0.9206
0.889,0.9369,0.9123
0.9145,0.9491,0.9315
0.898,0.932,0.9147
0.9597,0.9792,0.9693
0.9049,0.9459,0.9249
0.9297,0.9549,0.9421
0.8968,0.9359,0.9159
0.9021,0.9491,0.925
