nospo_rouge1_P,nospo_rouge1_R,nospo_rouge1_F1
0.961038961038961,0.8043478260869565,0.8757396400098036
0.9659090909090909,0.794392523364486,0.8717948668423405
0.875,0.5737704918032787,0.6930693021468484
0.88,0.6666666666666666,0.7586206847502973
0.921875,0.7468354430379747,0.8251748202298401
0.98,0.6805555555555556,0.8032786836871809
0.9285714285714286,0.6842105263157895,0.7878787829935721
1.0,0.8666666666666667,0.9285714235969389
1.0,0.6875,0.8148148099862826
0.95,0.8507462686567164,0.8976377902907806
0.9491525423728814,0.7567567567567568,0.8421052582214937
0.9523809523809523,0.8333333333333334,0.8888888839111112
0.9743589743589743,0.926829268292683,0.9499999950031252
0.9803921568627451,0.78125,0.8695652124551985
0.9655172413793104,0.8,0.8749999950439455
1.0,0.8205128205128205,0.9014084457528269
0.9365079365079365,0.7375,0.8251748202454888
0.972972972972973,0.8181818181818182,0.888888883926231
0.8947368421052632,0.6296296296296297,0.7391304299338375
1.0,0.828125,0.9059829010271021
0.8936170212765957,0.6774193548387096,0.7706421969295513
0.9759036144578314,0.8181818181818182,0.890109885148533
0.9487179487179487,0.7474747474747475,0.8361581871607776
0.9347826086956522,0.8113207547169812,0.8686868637118662
0.9833333333333333,0.7195121951219512,0.8309859106129737
0.9298245614035088,0.726027397260274,0.8153846104603552
0.9782608695652174,0.6818181818181818,0.8035714237308673
0.8913043478260869,0.6507936507936508,0.7522935731032743
0.9,0.7012987012987013,0.7883211629602004
0.82,0.5189873417721519,0.6356589099813713
0.9880952380952381,0.7757009345794392,0.8691099427164827
1.0,0.8809523809523809,0.9367088557795226
1.0,0.925,0.961038956046551
0.9444444444444444,0.7906976744186046,0.8607594887101427
1.0,0.7636363636363637,0.8659793765331066
0.8870967741935484,0.7236842105263158,0.7971014443268222
0.9803921568627451,0.8333333333333334,0.9009008959337717
0.9682539682539683,0.7625,0.8531468482175169
0.9807692307692307,0.7611940298507462,0.8571428522223008
0.972972972972973,0.75,0.8470588186131489
0.9423076923076923,0.8305084745762712,0.8828828779027676
0.8823529411764706,0.6617647058823529,0.7563025161104443
0.9733333333333334,0.8295454545454546,0.8957055165041967
0.8863636363636364,0.7090909090909091,0.7878787829405164
0.9701492537313433,0.7558139534883721,0.8496731976914863
0.972972972972973,0.7128712871287128,0.8228571379761633
1.0,0.7894736842105263,0.8823529362456748
